id_municipio,ano,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
1100015,2015,2228,1530,513,2043,185,131,57.82,64.54
1100023,2015,8361,3853,2532,6385,1976,215,62.63,60.85
1100031,2015,540,227,264,491,49,17,67.58,69.64
1100049,2015,6154,2612,2352,4964,1190,26,59.95,60.16
1100056,2015,1139,730,231,961,178,17,60.97,59.46
1100064,2015,1081,333,466,799,282,2,52.96,58.62
1100072,2015,976,680,237,917,59,17,70.21,71.52
1100080,2015,1944,1667,172,1839,105,36,80.09,81.4
1100098,2015,2556,1294,698,1992,564,26,54.52,53.7
1100106,2015,4593,3305,857,4162,431,78,59.8,62.39
1100114,2015,4594,2675,1242,3917,677,60,56.6,57.66
1100122,2015,7784,3813,2775,6588,1196,162,53.32,55.04
1100130,2015,4081,2292,1232,3524,557,39,73.49,77.22
1100148,2015,2983,2066,556,2622,361,107,70.37,72.75
1100155,2015,3139,994,1165,2159,980,17,61.52,58.84
1100189,2015,2401,1158,656,1814,587,104,55.34,56.31
1100205,2015,38842,19802,9768,29570,9272,1313,63.43,64.78
1100254,2015,2949,1895,506,2401,548,79,66.88,67.27
1100262,2015,399,289,77,366,33,18,61,60.89
1100288,2015,4121,1163,1989,3152,969,29,54.38,59.07
1100296,2015,763,446,177,623,140,0,56.06,54.88
1100304,2015,7620,3738,1926,5664,1956,474,70.9,70.34
1100320,2015,2533,1499,718,2217,316,9,62.17,63.18
1100338,2015,3752,2396,1019,3415,337,101,70.2,71.29
1100346,2015,2376,1752,310,2062,314,178,69.49,71.37
1100379,2015,1287,846,310,1156,131,4,62.78,67.64
1100403,2015,2453,1417,647,2064,389,52,69.17,68.36
1100452,2015,3784,2567,711,3278,506,160,72.81,73.26
1100502,2015,1195,793,251,1044,151,60,69.76,72.29
1100601,2015,623,261,242,503,120,4,74.7,74.73
1100700,2015,1545,1064,378,1442,103,98,76.22,76.53
1100809,2015,3255,2492,343,2835,420,194,78.28,77.56
1100908,2015,499,276,114,390,109,43,63.97,63.51
1100924,2015,822,607,142,749,73,120,61.34,60.74
1100940,2015,2625,1708,572,2280,345,51,72.73,72.54
1101005,2015,1617,1131,329,1460,157,53,71.8,72.63
1101104,2015,1224,726,379,1105,119,16,73.33,73.71
1101203,2015,1322,563,475,1038,284,18,71.88,73.72
1101302,2015,1785,637,659,1296,489,9,69.86,69.82
1101401,2015,1829,846,678,1524,305,24,74.22,73.33
1101435,2015,803,469,164,633,170,12,61.91,63.49
1101450,2015,636,392,119,511,125,31,61.56,62.16
1101468,2015,272,188,57,245,27,26,63.55,66.39
1101476,2015,282,163,51,214,68,14,35.6,34.46
1101484,2015,818,215,379,594,224,3,64.35,66.89
1101492,2015,2172,1343,481,1824,348,30,64.62,67.55
1101500,2015,1692,1001,443,1444,248,25,67.81,69.19
1101559,2015,566,349,146,495,71,76,65.66,65.64
1101609,2015,1272,782,288,1070,202,8,63.37,65.28
1101708,2015,1688,941,357,1298,390,46,56.22,60.45
1101757,2015,1285,757,285,1042,243,14,73.76,79.23
1101807,2015,827,621,118,739,88,29,58.9,63.76
1200013,2015,2144,1669,315,1984,160,303,76.32,76.39
1200054,2015,1222,1009,144,1153,69,442,79.14,79.62
1200104,2015,3493,3093,275,3368,125,367,76.29,77.85
1200138,2015,1397,1133,207,1340,57,40,77.65,78.36
1200179,2015,1382,979,327,1306,76,62,67.71,69.28
1200203,2015,11504,9787,1344,11131,373,1044,81.66,82.05
1200252,2015,1806,1493,255,1748,58,360,72.06,72.8
1200302,2015,5019,4670,238,4908,111,2534,81.68,81.85
1200328,2015,1215,1025,150,1175,40,309,83.9,84.77
1200336,2015,2964,2784,107,2891,73,1969,83.89,83.79
1200344,2015,1820,1564,177,1741,79,995,89.21,88.96
1200351,2015,2791,2572,176,2748,43,92,92.97,93.59
1200385,2015,1796,1422,320,1742,54,85,66.12,67.7
1200393,2015,1524,1325,165,1490,34,9,92.14,92.95
1200401,2015,32466,23153,6729,29882,2584,3491,71.7,73.13
1200427,2015,2415,2025,287,2312,103,200,83.39,84.47
1200435,2015,747,653,77,730,17,519,83.18,84.39
1200450,2015,3490,3287,135,3422,68,1924,81.61,82.08
1200500,2015,6476,5309,925,6234,242,291,81.07,82.02
1200609,2015,6628,5878,638,6516,112,3211,89.55,90.08
1200708,2015,2176,1794,316,2110,66,84,81.25,81.46
1200807,2015,2698,2304,297,2601,97,326,75.48,77.22
1300029,2015,2639,2367,180,2547,92,75,86.24,88.8
1300060,2015,1794,1358,243,1601,193,7,90.83,92.43
1300086,2015,1729,1503,148,1651,78,651,81.44,83
1300102,2015,2264,2116,91,2207,57,41,75.69,84.98
1300144,2015,2042,1556,289,1845,197,227,63.33,65.05
1300201,2015,2267,1923,260,2183,84,1787,83.71,83.41
1300300,2015,5678,5220,305,5525,153,349,77.33,78.48
1300409,2015,3209,2547,319,2866,343,33,83.41,83.58
1300508,2015,4295,3931,244,4175,120,77,69.54,73.56
1300607,2015,4850,4238,514,4752,98,373,86.49,88.97
1300631,2015,2890,2647,166,2813,77,50,79.76,79.64
1300680,2015,2708,2008,504,2512,196,262,86.96,89.74
1300706,2015,5188,4346,480,4826,362,38,76.17,80.4
1300805,2015,4066,3343,560,3903,163,23,79.55,80.24
1300839,2015,1737,1441,226,1667,70,42,81.09,82.72
1300904,2015,1978,1788,135,1923,55,1388,76.31,77.1
1301001,2015,4630,4437,108,4545,85,3060,81.55,82.48
1301100,2015,5075,4535,366,4901,174,123,76.35,78.7
1301159,2015,3675,3235,300,3535,140,78,83.44,85.73
1301209,2015,11315,9659,946,10605,710,395,78.6,78.33
1301308,2015,3408,3173,192,3365,43,40,90.08,90.62
1301407,2015,5511,5279,145,5424,87,2491,87.53,87.62
1301506,2015,2200,2064,124,2188,12,1881,65.16,66.34
1301605,2015,3461,3136,232,3368,93,39,82.95,83.63
1301654,2015,2363,2012,243,2255,108,1026,82.99,83.14
1301704,2015,7155,5849,653,6502,653,790,79.07,82.12
1301803,2015,2821,2698,83,2781,40,264,80.78,81.89
1301852,2015,9359,7703,675,8378,981,1073,83.04,83.02
1301902,2015,13271,10272,1781,12053,1218,340,76.91,80.07
1301951,2015,1662,1553,80,1633,29,17,85.4,87.32
1302009,2015,1679,1360,201,1561,118,41,83.78,85.58
1302108,2015,974,884,57,941,33,372,78.67,80.63
1302207,2015,1450,1035,350,1385,65,10,72.79,76.64
1302306,2015,2938,2428,351,2779,159,382,80.49,82.09
1302405,2015,6668,5965,398,6363,305,1607,78.66,82.01
1302504,2015,16239,13845,1633,15478,761,1666,82.12,83.27
1302553,2015,3139,2843,153,2996,143,28,75.78,77.31
1302603,2015,161993,107230,39096,146326,15667,1442,65.39,66.4
