codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,201512,2228,1530,513,2043,185,131,57.82,64.54
110002,201512,8361,3853,2532,6385,1976,215,62.63,60.85
110003,201512,540,227,264,491,49,17,67.58,69.64
110004,201512,6154,2612,2352,4964,1190,26,59.95,60.16
110005,201512,1139,730,231,961,178,17,60.97,59.46
110006,201512,1081,333,466,799,282,2,52.96,58.62
110007,201512,976,680,237,917,59,17,70.21,71.52
110008,201512,1944,1667,172,1839,105,36,80.09,81.4
110009,201512,2556,1294,698,1992,564,26,54.52,53.7
110010,201512,4593,3305,857,4162,431,78,59.8,62.39
110011,201512,4594,2675,1242,3917,677,60,56.6,57.66
110012,201512,7784,3813,2775,6588,1196,162,53.32,55.04
110013,201512,4081,2292,1232,3524,557,39,73.49,77.22
110014,201512,2983,2066,556,2622,361,107,70.37,72.75
110015,201512,3139,994,1165,2159,980,17,61.52,58.84
110018,201512,2401,1158,656,1814,587,104,55.34,56.31
110020,201512,38842,19802,9768,29570,9272,1313,63.43,64.78
110025,201512,2949,1895,506,2401,548,79,66.88,67.27
110026,201512,399,289,77,366,33,18,61.0,60.89
110028,201512,4121,1163,1989,3152,969,29,54.38,59.07
110029,201512,763,446,177,623,140,0,56.06,54.88
110030,201512,7620,3738,1926,5664,1956,474,70.9,70.34
110032,201512,2533,1499,718,2217,316,9,62.17,63.18
110033,201512,3752,2396,1019,3415,337,101,70.2,71.29
110034,201512,2376,1752,310,2062,314,178,69.49,71.37
110037,201512,1287,846,310,1156,131,4,62.78,67.64
110040,201512,2453,1417,647,2064,389,52,69.17,68.36
110045,201512,3784,2567,711,3278,506,160,72.81,73.26
110050,201512,1195,793,251,1044,151,60,69.76,72.29
110060,201512,623,261,242,503,120,4,74.7,74.73
110070,201512,1545,1064,378,1442,103,98,76.22,76.53
110080,201512,3255,2492,343,2835,420,194,78.28,77.56
110090,201512,499,276,114,390,109,43,63.97,63.51
110092,201512,822,607,142,749,73,120,61.34,60.74
110094,201512,2625,1708,572,2280,345,51,72.73,72.54
110100,201512,1617,1131,329,1460,157,53,71.8,72.63
110110,201512,1224,726,379,1105,119,16,73.33,73.71
110120,201512,1322,563,475,1038,284,18,71.88,73.72
110130,201512,1785,637,659,1296,489,9,69.86,69.82
110140,201512,1829,846,678,1524,305,24,74.22,73.33
110143,201512,803,469,164,633,170,12,61.91,63.49
110145,201512,636,392,119,511,125,31,61.56,62.16
110146,201512,272,188,57,245,27,26,63.55,66.39
110147,201512,282,163,51,214,68,14,35.6,34.46
110148,201512,818,215,379,594,224,3,64.35,66.89
110149,201512,2172,1343,481,1824,348,30,64.62,67.55
110150,201512,1692,1001,443,1444,248,25,67.81,69.19
110155,201512,566,349,146,495,71,76,65.66,65.64
110160,201512,1272,782,288,1070,202,8,63.37,65.28
110170,201512,1688,941,357,1298,390,46,56.22,60.45
110175,201512,1285,757,285,1042,243,14,73.76,79.23
110180,201512,827,621,118,739,88,29,58.9,63.76
120001,201512,2144,1669,315,1984,160,303,76.32,76.39
120005,201512,1222,1009,144,1153,69,442,79.14,79.62
120010,201512,3493,3093,275,3368,125,367,76.29,77.85
120013,201512,1397,1133,207,1340,57,40,77.65,78.36
120017,201512,1382,979,327,1306,76,62,67.71,69.28
120020,201512,11504,9787,1344,11131,373,1044,81.66,82.05
120025,201512,1806,1493,255,1748,58,360,72.06,72.8
120030,201512,5019,4670,238,4908,111,2534,81.68,81.85
120032,201512,1215,1025,150,1175,40,309,83.9,84.77
120033,201512,2964,2784,107,2891,73,1969,83.89,83.79
120034,201512,1820,1564,177,1741,79,995,89.21,88.96
120035,201512,2791,2572,176,2748,43,92,92.97,93.59
120038,201512,1796,1422,320,1742,54,85,66.12,67.7
120039,201512,1524,1325,165,1490,34,9,92.14,92.95
120040,201512,32466,23153,6729,29882,2584,3491,71.7,73.13
120042,201512,2415,2025,287,2312,103,200,83.39,84.47
120043,201512,747,653,77,730,17,519,83.18,84.39
