"data","indice","base"
1994-07-01,12.6569588987299,"12/2023"
1994-08-01,13.5227150253866,"12/2023"
1994-09-01,13.7742921808816,"12/2023"
1994-10-01,13.9849732846911,"12/2023"
1994-11-01,14.3514137189275,"12/2023"
1994-12-01,14.7546163079281,"12/2023"
1995-01-01,15.0069316593019,"12/2023"
1995-02-01,15.2620521550152,"12/2023"
1995-03-01,15.4176638462663,"12/2023"
1995-04-01,15.6566916718217,"12/2023"
1995-05-01,16.0371578277553,"12/2023"
1995-06-01,16.4653114374593,"12/2023"
1995-07-01,16.8373621603745,"12/2023"
1995-08-01,17.2346591823447,"12/2023"
1995-09-01,17.4053300695233,"12/2023"
1995-10-01,17.5776249876352,"12/2023"
1995-11-01,17.8255111637363,"12/2023"
1995-12-01,18.0875707007103,"12/2023"
1996-01-01,18.3697091655877,"12/2023"
1996-02-01,18.6158236715796,"12/2023"
1996-03-01,18.8076069608919,"12/2023"
1996-04-01,18.8734540332808,"12/2023"
1996-05-01,19.1113007454302,"12/2023"
1996-06-01,19.3444230039553,"12/2023"
1996-07-01,19.5745924789651,"12/2023"
1996-08-01,19.7919173456838,"12/2023"
1996-09-01,19.8790244593822,"12/2023"
1996-10-01,19.9088475728858,"12/2023"
1996-11-01,19.9686414390686,"12/2023"
1996-12-01,20.0325692021727,"12/2023"
1997-01-01,20.1267629963075,"12/2023"
1997-02-01,20.3643144301054,"12/2023"
1997-03-01,20.4661854613798,"12/2023"
1997-04-01,20.5705663586421,"12/2023"
1997-05-01,20.7515719881239,"12/2023"
1997-06-01,20.8366121533617,"12/2023"
1997-07-01,20.9491132052908,"12/2023"
1997-08-01,20.9951766281279,"12/2023"
1997-09-01,20.9910427312066,"12/2023"
1997-10-01,21.0035920611462,"12/2023"
1997-11-01,21.0518700716198,"12/2023"
1997-12-01,21.0875987521537,"12/2023"
1998-01-01,21.1782492060703,"12/2023"
1998-02-01,21.328545886994,"12/2023"
1998-03-01,21.4267259388744,"12/2023"
1998-04-01,21.4995120525241,"12/2023"
1998-05-01,21.5510381248644,"12/2023"
1998-06-01,21.6588147231692,"12/2023"
1998-07-01,21.6630962592662,"12/2023"
1998-08-01,21.6371117643324,"12/2023"
1998-09-01,21.5268253000397,"12/2023"
1998-10-01,21.4794331246207,"12/2023"
1998-11-01,21.4837146607178,"12/2023"
1998-12-01,21.4578778049598,"12/2023"
1999-01-01,21.5287446093246,"12/2023"
1999-02-01,21.6794842077756,"12/2023"
1999-03-01,21.9071438167975,"12/2023"
1999-04-01,22.1480909516378,"12/2023"
1999-05-01,22.2721078592762,"12/2023"
1999-06-01,22.3389884058955,"12/2023"
1999-07-01,22.3813608493387,"12/2023"
1999-08-01,22.6252607676942,"12/2023"
1999-09-01,22.7519351804963,"12/2023"
1999-10-01,22.8225067065096,"12/2023"
1999-11-01,23.094162789908,"12/2023"
1999-12-01,23.3135546050873,"12/2023"
2000-01-01,23.4533689045321,"12/2023"
2000-02-01,23.5987934926557,"12/2023"
2000-03-01,23.6295024412138,"12/2023"
2000-04-01,23.6814714310813,"12/2023"
2000-05-01,23.7809802355435,"12/2023"
2000-06-01,23.7833424623557,"12/2023"
2000-07-01,23.8381165965627,"12/2023"
2000-08-01,24.2219784535387,"12/2023"
2000-09-01,24.5392550422469,"12/2023"
2000-10-01,24.5956532073873,"12/2023"
2000-11-01,24.6300531353394,"12/2023"
2000-12-01,24.7088924551952,"12/2023"
2001-01-01,24.8546123216703,"12/2023"
2001-02-01,24.9963459303999,"12/2023"
2001-03-01,25.111356848317,"12/2023"
2001-04-01,25.206731755858,"12/2023"
2001-05-01,25.3528945398604,"12/2023"
2001-06-01,25.4568325195954,"12/2023"
2001-07-01,25.5892648602521,"12/2023"
2001-08-01,25.929573160379,"12/2023"
2001-09-01,26.111021707388,"12/2023"
2001-10-01,26.1841030993892,"12/2023"
2001-11-01,26.401427966108,"12/2023"
2001-12-01,26.5889297193232,"12/2023"
2002-01-01,26.7618151941381,"12/2023"
2002-02-01,26.9010389368798,"12/2023"
2002-03-01,26.9978902361784,"12/2023"
2002-04-01,27.1598504119871,"12/2023"
2002-05-01,27.3771752787058,"12/2023"
2002-06-01,27.4346069180765,"12/2023"
2002-07-01,27.5497654751693,"12/2023"
2002-08-01,27.8776720845323,"12/2023"
2002-09-01,28.0588253531898,"12/2023"
2002-10-01,28.2607957456295,"12/2023"
2002-11-01,28.6310747984356,"12/2023"
2002-12-01,29.495797450862,"12/2023"
2003-01-01,30.1151437931752,"12/2023"
2003-02-01,30.7928076099137,"12/2023"
2003-03-01,31.2763259105277,"12/2023"
2003-04-01,31.6610736025583,"12/2023"
2003-05-01,31.9681630881391,"12/2023"
2003-06-01,32.1631944393181,"12/2023"
2003-07-01,32.1149164288446,"12/2023"
2003-08-01,32.1791394703002,"12/2023"
2003-09-01,32.2885400995383,"12/2023"
2003-10-01,32.5404125333849,"12/2023"
2003-11-01,32.6347539666956,"12/2023"
2003-12-01,32.7457786268671,"12/2023"
2004-01-01,32.9160065965184,"12/2023"
2004-02-01,33.1661073602558,"12/2023"
2004-03-01,33.368373031047,"12/2023"
2004-04-01,33.5251658357042,"12/2023"
2004-05-01,33.6491827433426,"12/2023"
2004-06-01,33.8207394655757,"12/2023"
2004-07-01,34.0608007653615,"12/2023"
