nome_antigo,nome_novo,dimensao,motivo,data,acao,versao_remocao
capital_uf,flag_capital_uf,00_diretorios,"integer64 0/1, mas o nome se le como 'a UF da capital'; sem prefixo de flag",,renomear,dados-v2.0.0
amazonia_legal,flag_amazonia_legal,00_diretorios,Flag 0/1 sem prefixo; tipo integer64 em diretorios.RData e character em meio_ambiente.RData,,renomear,dados-v2.0.0
centroide,centroide_wkt_sirgas2000,00_diretorios,Tipo wk_wkt em diretorios.RData que vira character no xlsx; sem CRS nem formato no nome,,renomear,dados-v2.0.0
populacao,populacao_residente_i,02_populacao,Generico; colide com a populacao da dim 4 (removida em municipalityBR.qmd:97) e semanticamente com populacao_atendida_agua/esgoto/urbana do SNIS,,renomear,dados-v2.0.0
prop_catolicos,censo_catolicos_prop,02_populacao,Prefixo prop_ em vez de sufixo de escala; declarada STRING no dicionario e numeric em populacao_brasileira.RData,,renomear,dados-v2.0.0
prop_evangelicos_pentecostais,censo_evangelicos_pentecostais_prop,02_populacao,Prefixo prop_ sem sufixo de escala (0-1),,renomear,dados-v2.0.0
prop_evangelicos_missao,censo_evangelicos_missao_prop,02_populacao,Prefixo prop_ sem sufixo de escala (0-1),,renomear,dados-v2.0.0
prop_espiritas,censo_espiritas_prop,02_populacao,Prefixo prop_ sem sufixo de escala (0-1),,renomear,dados-v2.0.0
prop_matriz_africana,censo_matriz_africana_prop,02_populacao,Prefixo prop_ sem sufixo de escala (0-1),,renomear,dados-v2.0.0
ano_censo,ano_ref_censo_religiao,02_populacao,"Generico: nao diz que e o ano do Censo de religiao (2000/2010) replicado sobre 1996-2015; mesmo padrao de ano_avs, ano_ideb, ano_eleicao, ano_inicio",,renomear,dados-v2.0.0
total_desastres,s2id_desastres_i,03_meio_ambiente,"Prefixo total_ generico, sem fonte (S2iD/Atlas de Desastres) e sem sufixo de contagem",,renomear,dados-v2.0.0
total_pessoas_afetadas,s2id_pessoas_afetadas_desastre_i,03_meio_ambiente,Idem; nao diz que e afetadas POR DESASTRE,,renomear,dados-v2.0.0
total_danos_materiais,s2id_danos_materiais_brl2023,03_meio_ambiente,Valor monetario sem unidade e sem indicacao de deflacao,,renomear,dados-v2.0.0
total_prejuizos_publicos,s2id_prejuizos_publicos_brl2023,03_meio_ambiente,Valor monetario sem unidade e sem indicacao de deflacao,,renomear,dados-v2.0.0
total_prejuizos_privados,s2id_prejuizos_privados_brl2023,03_meio_ambiente,Valor monetario sem unidade e sem indicacao de deflacao,,renomear,dados-v2.0.0
total_desastres_climatologicos,s2id_desastres_climatologicos_i,03_meio_ambiente,Prefixo total_ generico; a familia tem 20 colunas (5 metricas x 4 tipos) com o mesmo defeito,,renomear,dados-v2.0.0
total_desastres_hidrologicos,s2id_desastres_hidrologicos_i,03_meio_ambiente,Idem,,renomear,dados-v2.0.0
total_desastres_meteorologicos,s2id_desastres_meteorologicos_i,03_meio_ambiente,Idem,,renomear,dados-v2.0.0
total_desastres_outros,s2id_desastres_outros_i,03_meio_ambiente,'outros' como categoria residual nao documentada,,renomear,dados-v2.0.0
populacao_atendida_agua,snis_populacao_atendida_agua_i,03_meio_ambiente,Sem prefixo de fonte; colide semanticamente com populacao (dim 2). Tipo character em meio_ambiente.RData apesar de ser contagem,,renomear,dados-v2.0.0
populacao_atentida_esgoto,snis_populacao_atendida_esgoto_i,03_meio_ambiente,"Erro de digitacao ('atentida'). Origem upstream: alias da propria tabela SNIS na Base dos Dados, saneamento.R:18. PUBLICADO na base final (renomear_variaveis.R:33)",,renomear,dados-v2.0.0
populacao_urbana,snis_populacao_urbana_i,03_meio_ambiente,"Sem prefixo de fonte; e a populacao urbana do SNIS, nao do Censo, e le-se como atributo demografico do municipio",,renomear,dados-v2.0.0
populacao_urbana_residente_agua,snis_populacao_urbana_residente_area_atendida_agua_i,03_meio_ambiente,Sem prefixo; 'residente_agua' e construcao opaca do SNIS,,renomear,dados-v2.0.0
populacao_urbana_atendida_esgoto,snis_populacao_urbana_atendida_esgoto_i,03_meio_ambiente,Sem prefixo de fonte; character em meio_ambiente.RData apesar de contagem,,renomear,dados-v2.0.0
