"slug","rotulo_pt","numero_legado","ordem"
"00_diretorios","Identificação e diretórios",1,1
"01_assistencia_social_dh","Assistência Social e Direitos Humanos",8,2
"02_populacao","População",2,3
"03_meio_ambiente","Meio Ambiente",3,4
"04_economia","Economia",4,5
"05_sociedade","Sociedade",5,6
"06_financas","Finanças Municipais",6,7
"07_recursos_humanos","Recursos Humanos",7,8
"08_energia_internet","Energia e Internet",9,9
"09_educacao","Educação",10,10
"10_saude","Saúde",11,11
"11_transportes","Transportes",12,12
"12_habitacao","Habitação",13,13
"13_seguranca","Segurança",14,14
"14_corrupcao","Corrupção e Transparência",15,15
"15_dados_historicos","Dados Históricos",16,16
"16_eleicoes","Eleições",17,17
