dimensao,nome_canonico,nome_legado,nome_na_fonte,descricao,unidade,escala,tipo,dominio_valido,tipo_real,pct_na,n_distintos,minimo,maximo,n_infinito,confianca_inferencia,revisao_pendente,motivo_revisao,problema,acao,tabela,conceito,obrigatoria
00_diretorios,id_municipio,id_municipio,id_municipio,ID Município - IBGE 7 Dígitos,codigo,identificador,character,,character,0,5568,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,TRUE
00_diretorios,id_municipio_6,id_municipio_6,id_municipio_6,ID Município - IBGE 6 Dígitos,codigo,identificador,character,,character,0,5570,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,id_municipio_tse,id_municipio_tse,id_municipio_tse,ID Município - Tribunal Superior Eleitoral (TSE),texto,categorica,character,,character,0,5570,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,id_municipio_rf,id_municipio_rf,id_municipio_rf,ID Município - Receita Federal (RF),texto,categorica,character,,character,0,5570,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,id_municipio_bcb,id_municipio_bcb,id_municipio_bcb,ID Município - Banco Central do Brasil (BCB),texto,categorica,character,,character,0,5570,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,nome_municipio,nome_municipio,nome_municipio,Nome do município,texto,categorica,character,,character,0,5297,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,flag_capital_uf,capital_uf,capital_uf,Município é a Capital da Unidade da Federação,booleano,binaria,integer,"[0,1]",integer,0,2,0,1,0,alta,FALSE,,"integer64 0/1, mas o nome se le como 'a UF da capital'; sem prefixo de flag",renomear,00_diretorios/municipios,,FALSE
00_diretorios,id_comarca,id_comarca,id_comarca,ID Sede Comarca,texto,categorica,character,,character,0,2762,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,id_regiao_saude,id_regiao_saude,id_regiao_saude,ID Região de Saúde,texto,categorica,character,,character,0,450,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,nome_regiao_saude,nome_regiao_saude,nome_regiao_saude,Nome da Região de Saúde,texto,categorica,character,,character,0,440,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,id_regiao_imediata,id_regiao_imediata,id_regiao_imediata,ID Região Imediata - IBGE,texto,categorica,character,,character,0,510,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,nome_regiao_imediata,nome_regiao_imediata,nome_regiao_imediata,Nome da Região Imediata,texto,categorica,character,,character,0,508,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,id_regiao_intermediaria,id_regiao_intermediaria,id_regiao_intermediaria,ID Região Intermediária - IBGE,texto,categorica,character,,character,0,133,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,nome_regiao_intermediaria,nome_regiao_intermediaria,nome_regiao_intermediaria,Nome da Região Intermediária,texto,categorica,character,,character,0,133,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,id_microrregiao,id_microrregiao,id_microrregiao,ID Microrregião - IBGE,texto,categorica,character,,character,0,558,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
00_diretorios,nome_microrregiao,nome_microrregiao,nome_microrregiao,Nome da Microrregião,texto,categorica,character,,character,0,554,,,0,alta,FALSE,,,manter,00_diretorios/municipios,,FALSE
