slug,camada,dimensao,orgao_origem,via_declarada,metodo_atual,automatizavel_declarado,tem_extrair,tem_tratar,tem_manifesto,tem_raw,linhas_publicadas,municipios,janela_publicada,alvo_de_acesso,bloqueio_principal,prioridade
00_diretorios/municipios,fonte,00_diretorios,IBGE,Base dos Dados,bigquery,sim,sim,sim,sim,sim,5570,5570,atemporal,bigquery,nenhum: e a unica fonte com caminho completo,1
01_assistencia_social_dh/cadunico,fonte,01_assistencia_social_dh,MDS/SAGI,SAGI indicador IN004,download_manual,parcial,nao,sim,sim,sim,50130,5570,2015-2023,api_ou_http,o raw e DERIVADO do pipeline legado; a origem mensal precisa ser rebaixada e os dois passos ja aplicados reescritos,2
01_assistencia_social_dh/disque100,fonte,01_assistencia_social_dh,MDHC Ouvidoria Nacional,planilhas anuais do portal,download_manual,nao,nao,sim,sim,sim,59990,5567,2011-2023,http_por_edicao,layout muda entre edicoes; exige leitor por ano,3
03_meio_ambiente/adaptabrasil,fonte,03_meio_ambiente,AdaptaBrasil MCTI,portal com filtros,download_manual,sim,nao,nao,sim,nao,5570,5570,2015-2015,api_a_descobrir,sem raw e sem sha256; retrato unico de 2015,3
05_sociedade/atlas_ivs,fonte,05_sociedade,Ipea Atlas da Vulnerabilidade Social,ivs.ipea.gov.br,download_manual,sim,nao,nao,sim,nao,11130,5565,2000-2010,bigquery_ou_http,br_ipea_avs.municipio existe na BD; censitaria 2000/2010 e o Censo 2022 muda a fronteira,2
09_educacao/censup,fonte,09_educacao,INEP Censo da Educacao Superior,basedosdados.br_inep_censo_educacao_superior,bigquery,nao declarado,nao,nao,NAO,nao,10642,885,2009-2023,bigquery,SEM MANIFESTO; a consulta legada trazia 8 colunas de alto volume descartadas no group_by,2
09_educacao/ideb,fonte,09_educacao,INEP IDEB,basedosdados.br_inep_ideb,bigquery,nao declarado,nao,nao,NAO,nao,55694,5570,2005-2023,bigquery,SEM MANIFESTO; serie bienal replicada para o ano seguinte sem marca,1
11_transportes/tarifa_zero,fonte,11_transportes,Observatorio da Tarifa Zero,compilacao manual,download_manual,parcial,nao,nao,sim,nao,578,106,1992-2024,http_ou_raspagem,planilha colaborativa viva; licenca nao declarada; ja vem expandida (achado 33),3
11_transportes/tarifas,fonte,11_transportes,Levantamento proprio MAPE,decretos municipais,download_manual,nao,nao,nao,sim,nao,351,27,2005-2017,nao_automatizavel,compilacao propria a partir de atos publicos coletados um a um,4
12_habitacao/mcmv_fgts,fonte,12_habitacao,Ministerio das Cidades / Caixa,planilha de acompanhamento,download_manual,parcial,nao,nao,sim,nao,11153,4610,2007-2024,http_dados_abertos,a planilha original nao esta aqui; sem ela o achado 16 (escala) nao fecha,1
01_assistencia_social_dh,dimensao,01_assistencia_social_dh,MDS/SAGI e MDHC,consolidacao das fontes,arquivo_local,—,—,consolidador,—,—,67406,5570,2011-2023,consolidacao,unica dimensao que reproduz do proprio grafo,1
02_populacao,dimensao,02_populacao,IBGE,Base dos Dados e censobr,arquivo_local,—,nao,NAO,nao,nao,179930,5570,1991-2023,bigquery,sem produtor; br_ibge_populacao.municipio e o caminho; Censo 2022 muda a religiao censitaria,1
03_meio_ambiente,dimensao,03_meio_ambiente,SEDEC/MIDR CEPED/UFSC SNIS INPE MCTI,BD e downloads manuais,arquivo_local,—,nao,NAO,nao,nao,183810,5570,1991-2023,misto,sem produtor; quatro fontes de naturezas diferentes num alvo so,2
04_economia,dimensao,04_economia,IBGE Contas Regionais,Base dos Dados,arquivo_local,—,nao,NAO,cache,cache,127786,5570,1999-2021,bigquery,sem produtor; achado 1 (fator de bloco) exige decisao ANTES de reextrair,1
05_sociedade,dimensao,05_sociedade,Ipea AVS,Base dos Dados,arquivo_local,—,nao,NAO,nao,nao,111300,5565,1996-2015,bigquery,sem produtor,3
