dimensao,coluna,motivo
11_transportes,municipio_tarifa_zero,"Coluna removida de propósito: é o nome do município, redundante com nome_municipio de 00_diretorios, e estava preenchida em apenas 102 linhas. O bloco territorial passa a existir só no diretório."
04_economia,populacao,"Coluna removida de propósito: é uma segunda extração da mesma tabela do IBGE já publicada em 02_populacao, idêntica em 100% das linhas comparáveis. A duplicação fazia a mesma consulta ser faturada duas vezes."
04_economia,id_municipio_nome,"Coluna removida de propósito: é o nome do município com prefixo id_, redundante com nome_municipio de 00_diretorios."
08_energia_internet,nome_municipio,"Coluna removida de propósito: pertence ao bloco territorial, que passa a existir só em 00_diretorios."
10_saude,sigla_uf,"Coluna removida de propósito: é a origem do defeito de sigla_uf na base publicada, que tem apenas 33.420 valores preenchidos porque vem do IEPS em vez do diretório."
13_seguranca,sigla_uf_nome,"Coluna removida de propósito: o prefixo sigla_ está num campo que contém o NOME da UF por extenso, e ela é redundante com nome_uf de 00_diretorios."
13_seguranca,id_municipio_nome,"Coluna removida de propósito: nome do município com prefixo id_, redundante com o diretório."
07_recursos_humanos,*,"81 linhas com id_municipio nulo eliminadas na origem. São as 80 linhas fantasma da planilha MUNIC de 2019, que contêm apenas o caractere '-', mais uma linha de 2011."
06_financas,*,"Diferenças concentradas nas colunas de emendas parlamentares, nas linhas afetadas pelas 222 chaves duplicadas (235 linhas excedentes) que a fonte traz. A duplicação vem de as emendas serem associadas ao município POR NOME, sem UF: 1.067 de 11.649 linhas têm UF divergente, e o comentário do script legado admite o problema. Com a chave ambígua, a comparação por chave casa linhas diferentes. Corrigir exige reprocessar a fonte das Emendas com join por código, o que está fora do escopo desta etapa."
06_financas,localidade_gasto,Mesma causa: coluna de texto afetada pelas chaves duplicadas das Emendas.
03_meio_ambiente,*,"Recuperação de tipo em 12 colunas que estavam como texto por causa do sentinela NaoDisponivel do AdaptaBrasil, presente numa coluna e ausente na coluna irmã."
15_dados_historicos,estimativa_ano_fundacao,"54 municipios do Tocantins tem duas linhas na base de Kustov & Pardelli — uma sob Goias (pre-1988) e outra sob Tocantins (pos-1988), porque o estado foi criado pela Constituicao de 1988 — e a comparacao por id_municipio (a chave desta tabela transversal) casa a linha publicada com uma das duas. As duas sao observacoes historicas distintas do mesmo territorio e sao mantidas de proposito; ver qa/erros_aceitos.csv. Reivindicado em 26/07/2026, achados 25 e a chave duplicada intencional."
13_seguranca,(conjunto de chaves),"352 chaves so no publicado: sao os 70 codigos NAO MUNICIPAIS do achado 12 (27 codigos de UF, 30 pseudo-codigos sub-municipais do Rio, 11 de Sao Paulo e 2 avulsos), em 1996-2005. Nenhum dos 70 existe no diretorio de municipios, e todos estao marcados por flag_codigo_nao_municipal. As 47.730 chaves so na referencia sao assimetria de janela: a referencia e um painel unico de 180.285 linhas cobrindo 1991-2023, e esta dimensao cobre 1996-2021. Medido em 26/07/2026, achados 12, 13 e 66."
02_populacao,(conjunto de chaves),"Nenhuma chave so no publicado. As 355 so na referencia se decompoem em duas partes, ambas medidas: 13 sao linhas fantasma com id_municipio nulo, eliminadas na origem; as outras 342 sao 92 municipios que ESTAO na dimensao publicada, faltando anos anteriores a criacao deles (58 municipios sem 1996-2000, cujo primeiro ano publicado e 2001, 2004 ou 2006) ou sem estimativa naquele ano (30 sem 2023). A referencia preenchia o retangulo municipio x ano completo e fabricava linha para municipio que ainda nao existia; o publicado nao. Medido em 26/07/2026, achados 66 e 67."
07_recursos_humanos,(conjunto de chaves),"Nenhuma chave so no publicado. As 113.461 so na referencia sao assimetria de janela e de periodicidade: a MUNIC e bienal e cobre 2009-2023 (66.824 linhas), enquanto a referencia e um painel anual unico de 180.285 linhas cobrindo 1991-2023. Medido em 26/07/2026, achados 66 e 67."
08_energia_internet,(conjunto de chaves),"5.570 chaves so no publicado: e o ano de 2024 inteiro, um registro por municipio, todos validos no diretorio. A referencia termina em 2023, entao o ano novo nao tem contraparte com que ser comparado. As 74.567 so na referencia sao assimetria de janela: o publicado cobre 2004-2024. Medido em 26/07/2026, achados 66 e 67."
06_financas,(conjunto de chaves),"8.881 chaves so no publicado, em 4.489 municipios validos, concentradas nos anos 1989, 1990, 1991 e 2024 — fora da janela 1991-2023 da referencia. As 9.378 so na referencia sao o complemento da mesma assimetria. Nenhuma das duas pontas envolve codigo invalido. Medido em 26/07/2026, achados 66 e 67."
03_meio_ambiente,(conjunto de chaves),"3.538 chaves so no publicado, em 1.079 municipios validos, nos anos 1991-2010: sao linhas de municipio-ano que o esqueleto do painel cria e a referencia nao tinha. Elas incluem as 3.843 linhas anteriores a instalacao do municipio do achado 29, publicadas com zero em vez de ausentes — defeito declarado e ainda aberto. As 13 so na referencia sao linhas fantasma com id_municipio nulo. Medido em 26/07/2026, achados 29, 66 e 67."
15_dados_historicos,(conjunto de chaves),"27 codigos so no publicado, nenhum deles presente no diretorio de municipios: sao municipios EXTINTOS ou com codigo alterado desde a coleta historica de Kustov & Pardelli (ver a justificativa de dominio_chave em qa/justificativas.csv). 6 so na referencia. A tabela e transversal e a comparacao e por id_municipio. Medido em 26/07/2026, achados 25, 66 e 67."
01_assistencia_social_dh,(conjunto de chaves),"Nenhuma chave so no publicado. 112.879 so na referencia: a dimensao cobre 2011-2023 em 67.406 linhas. A referencia e um painel unico de 180.285 linhas cobrindo 1991-2023; chave presente so nela e assimetria de janela, nao perda. Medido em 26/07/2026, achados 66 e 67."
01_assistencia_social_dh,*,"Seis colunas do Disque 100 (total_violacoes e os cinco recortes) tem 7.416 celulas cada que a referencia publicava como ZERO e a dimensao publica como NA. Medido: o valor perdido e 0 em 100% dos casos, em 2.422 municipios de 2015 a 2023. E zero fabricado trocado por ausencia honesta — o publicado esta mais correto que a referencia, e nao menos. Medido em 26/07/2026, achados 24 e 67."
04_economia,(conjunto de chaves),"Nenhuma chave so no publicado. 52.499 so na referencia: a dimensao cobre 1999-2021 em 127.786 linhas. A referencia e um painel unico de 180.285 linhas cobrindo 1991-2023; chave presente so nela e assimetria de janela, nao perda. Medido em 26/07/2026, achados 66 e 67."
05_sociedade,(conjunto de chaves),"Nenhuma chave so no publicado. 68.985 so na referencia: a dimensao e censitaria e cobre 1996-2015 em 111.300 linhas. A referencia e um painel unico de 180.285 linhas cobrindo 1991-2023; chave presente so nela e assimetria de janela, nao perda. Medido em 26/07/2026, achados 34, 66 e 67."
09_educacao,(conjunto de chaves),"5.594 chaves so no publicado, todas em municipios validos: 5.570 sao o ano de 2024 inteiro, posterior ao fim da referencia, e 24 se espalham por 2005-2010. 74.491 so na referencia sao assimetria de janela (a dimensao cobre 2005-2024). Medido em 26/07/2026, achados 66 e 67."
10_saude,(conjunto de chaves),"2 chaves so no publicado, ambas em 2010 e em municipios validos do diretorio. 31.143 so na referencia: a dimensao cobre 1994-2021 em 149.144 linhas. A referencia e um painel unico de 180.285 linhas cobrindo 1991-2023; chave presente so nela e assimetria de janela, nao perda. Medido em 26/07/2026, achados 66 e 67."
11_transportes,(conjunto de chaves),"3.542 chaves so no publicado, em 1.083 municipios validos, nos anos 1991-2010 e 2024. O ano de 2024 e posterior a referencia; as demais sao linhas que o esqueleto do painel cria para municipio-ano anterior a instalacao do municipio, o defeito declarado do achado 29. 13 so na referencia sao linhas fantasma com id_municipio nulo. Medido em 26/07/2026, achados 29, 66 e 67."
