"dimensao","nome_artefato","nome_base"
"03_meio_ambiente","NM_UF","nm_uf"
"03_meio_ambiente","AB1.1","capacidade_investimento_adaptacao"
"03_meio_ambiente","AB1.2","capacidade_investimento_adaptacao_classe"
"03_meio_ambiente","AB2.1","indice_capacidade_adaptacao_inundacoes_enxurradas"
"03_meio_ambiente","AB2.2","indice_capacidade_adaptacao_inundacoes_enxurradas_classe"
"03_meio_ambiente","AB3.1","indice_risco_inundacoes_enxurradas"
"03_meio_ambiente","AB3.2","indice_risco_inundacoes_enxurradas_classe"
"03_meio_ambiente","AB4.1","indice_vulnerabilidade_inundacoes_enxurradas"
"03_meio_ambiente","AB4.2","indice_vulnerabilidade_inundacoes_enxurradas_classe"
"03_meio_ambiente","AB6.1","cidades_resilientes"
"03_meio_ambiente","AB6.2","cidades_resilientes_classe"
"03_meio_ambiente","AB7.1","indice_capacidade_adaptativa_recursos_hidricos"
"03_meio_ambiente","AB7.2","indice_capacidade_adaptativa_recursos_hidricos_classe"
"03_meio_ambiente","AB8.1","indice_risco_seca"
"03_meio_ambiente","AB8.2","indice_risco_seca_classe"
"03_meio_ambiente","AB9.1","indice_vulnerabilidade_seca"
"03_meio_ambiente","AB9.2","indice_vulnerabilidade_seca_classe"
"06_financas","valor_total","valor_emendas_total"
"06_financas","Agricultura","valor_emendas_agricultura"
"06_financas","Comércio.e.serviços","valor_emendas_comercio"
"06_financas","Desporto.e.lazer","valor_emendas_desporto"
"06_financas","Saúde","valor_emendas_saude"
"06_financas","Urbanismo","valor_emendas_urbanismo"
"06_financas","Organização.agrária","valor_emendas_organizacao_agraria"
"06_financas","Assistência.social","valor_emendas_assistencia_social"
"06_financas","Educação","valor_emendas_educacao"
"06_financas","Direitos.da.cidadania","valor_emendas_direitos_cidadania"
"06_financas","Defesa.nacional","valor_emendas_defesa"
"06_financas","Ciência.e.Tecnologia","valor_emendas_ciencia"
"06_financas","Cultura","valor_emendas_cultura"
"06_financas","Indústria","valor_emendas_industria"
"06_financas","Segurança.pública","valor_emendas_seguranca"
"06_financas","Gestão.ambiental","valor_emendas_gestao_ambiental"
"06_financas","Habitação","valor_emendas_habitacao"
"06_financas","Administração","valor_emendas_administracao"
"06_financas","Saneamento","valor_emendas_saneamento"
"06_financas","Trabalho","valor_emendas_trabalho"
"06_financas","Transporte","valor_emendas_transporte"
"06_financas","Previdência.social","valor_emendas_previdencia"
"06_financas","Encargos.especiais","valor_emendas_encargos_especiais"
"06_financas","Múltiplo","valor_emendas_multiplo"
