nome_legado,nome_proposto,problema,publicado,acao
dimensao_identificao,dimensao_identificacao,"Erro de digitacao (falta 'ca' de identificacao). PUBLICADO na base final, renomear_variaveis.R:19",False,renomear
nome,nome_municipio,"Nome do municipio sem qualificador; existe em 5 dimensoes e gera nome.x/nome.y na juncao. Presente em diretorios.RData, meio_ambiente.RData, financas_municipais.RData, saude.RData",False,renomear
centroide,centroide_wkt_sirgas2000,Tipo wk_wkt em diretorios.RData que vira character no xlsx; sem CRS nem formato no nome,True,renomear
capital_uf,flag_capital_uf,"integer64 0/1, mas o nome se le como 'a UF da capital'; sem prefixo de flag",False,renomear
amazonia_legal,flag_amazonia_legal,Flag 0/1 sem prefixo; tipo integer64 em diretorios.RData e character em meio_ambiente.RData,False,renomear
ano,ano,"Chave do painel com cinco tipos diferentes entre dimensoes (numeric, character, integer, integer64) e coercao manual em cada join do municipalityBR.qmd",True,renomear
populacao,populacao_residente_i,Generico; colide com a populacao da dim 4 (removida em municipalityBR.qmd:97) e semanticamente com populacao_atendida_agua/esgoto/urbana do SNIS,True,renomear
pop,populacao_residente_i,"Nome maximamente generico no intermediario censoBR_religiao.R:40-47, denominador de todas as prop_*",False,renomear
code_muni,id_municipio,"Grafia alternativa da chave (geobr/censoBR), usada no join populacao.R e tambem na dim 9",False,renomear
ano_censo,ano_ref_censo_religiao,"Generico: nao diz que e o ano do Censo de religiao (2000/2010) replicado sobre 1996-2015; mesmo padrao de ano_avs, ano_ideb, ano_eleicao, ano_inicio",False,renomear
prop_catolicos,censo_catolicos_prop,Prefixo prop_ em vez de sufixo de escala; declarada STRING no dicionario e numeric em populacao_brasileira.RData,False,renomear
prop_evangelicos_pentecostais,censo_evangelicos_pentecostais_prop,Prefixo prop_ sem sufixo de escala (0-1),False,renomear
prop_evangelicos_missao,censo_evangelicos_missao_prop,Prefixo prop_ sem sufixo de escala (0-1),False,renomear
prop_espiritas,censo_espiritas_prop,Prefixo prop_ sem sufixo de escala (0-1),False,renomear
prop_matriz_africana,censo_matriz_africana_prop,Prefixo prop_ sem sufixo de escala (0-1),False,renomear
populacao_atentida_esgoto,snis_populacao_atendida_esgoto_i,"Erro de digitacao ('atentida'). Origem upstream: alias da propria tabela SNIS na Base dos Dados, saneamento.R:18. PUBLICADO na base final (renomear_variaveis.R:33)",False,renomear
populacao_atendida_agua,snis_populacao_atendida_agua_i,Sem prefixo de fonte; colide semanticamente com populacao (dim 2). Tipo character em meio_ambiente.RData apesar de ser contagem,False,renomear
populacao_urbana,snis_populacao_urbana_i,"Sem prefixo de fonte; e a populacao urbana do SNIS, nao do Censo, e le-se como atributo demografico do municipio",False,renomear
